Date,Town,Super,Diesel ,Kerosene
15/01/2011,Mombasa,92.53,85.59,74.41
15/01/2011,Nairobi,95.67,88.71,77.15
15/01/2011,Kisumu,97.87,90.91,79.71
15/02/2011,Mombasa,94.93,86.59,76.42
15/02/2011,Nairobi,98.08,91.72,79.52
15/02/2011,Kisumu,100.28,93.92,81.73
15/03/2011,Mombasa,99.28,91.39,80.86
15/03/2011,Nairobi,102.44,94.53,83.97
15/03/2011,Kisumu,104.64,96.73,86.17
15/04/2011,Mombasa,107.92,104.28,87.7
15/04/2011,Nairobi,111.17,107.52,90.91
15/04/2011,Kisumu,113.42,109.77,93.16
15/05/2011,Mombasa,107.92,102.2,85.53
15/05/2011,Nairobi,111.17,105.44,88.73
15/05/2011,Kisumu,113.42,107.7,90.98
15/06/2011,Mombasa,112.07,103.06,82.91
15/06/2011,Nairobi,114.93,106.3,85.71
15/06/2011,Kisumu,116.93,108.55,87.71
15/07/2011,Mombasa,112.12,102.88,83.37
15/07/2011,Nairobi,115.39,106.12,86.16
15/07/2011,Kisumu,117.64,108.37,88.17
15/08/2011,Mombasa,113.44,105.73,86.16
15/08/2011,Nairobi,117.22,108.97,88.96
15/08/2011,Kisumu,119.36,110.94,90.73
15/09/2011,Mombasa,115.01,104.93,85.49
15/09/2011,Nairobi,117.75,108.17,88.29
15/09/2011,Kisumu,119.09,110.14,90.06
15/10/2011,Mombasa,117.22,107.69,87.14
15/10/2011,Nairobi,120.5,110.94,89.95
15/10/2011,Kisumu,122.22,112.9,91.71
15/11/2011,Mombasa,120.85,111.04,92.05
15/11/2011,Nairobi,124.13,114.3,94.87
15/11/2011,Kisumu,125.83,116.25,96.62
15/12/2011,Mombasa,115.79,107.72,87.93
15/12/2011,Nairobi,119.06,110.98,90.74
15/12/2011,Kisumu,120.79,112.94,92.5
15/01/2012,Mombasa,108.7,104.65,84.31
15/01/2012,Nairobi,111.95,107.9,87.11
15/01/2012,Kisumu,113.72,109.87,88.89
15/02/2012,Mombasa,108.07,102.05,80.95
15/02/2012,Nairobi,111.32,105.29,83.74
15/02/2012,Kisumu,113.09,107.26,85.53
15/03/2012,Mombasa,108.44,101.89,81.34
15/03/2012,Nairobi,111.69,105.12,84.13
15/03/2012,Kisumu,113.46,107.1,85.92
15/04/2012,Mombasa,115.23,105.55,83.48
15/04/2012,Nairobi,118.5,108.8,86.28
15/04/2012,Kisumu,120.23,110.77,88.05
15/05/2012,Mombasa,117.85,105.2,84.2
15/05/2012,Nairobi,121.13,108.44,87
15/05/2012,Kisumu,122.84,110.41,88.78
15/06/2012,Mombasa,114.4,102.27,80.41
15/06/2012,Nairobi,117.67,105.51,83.2
15/06/2012,Kisumu,119.41,107.49,84.99
15/07/2012,Mombasa,105.22,94.28,71.63
15/07/2012,Nairobi,108.46,97.5,74.4
15/07/2012,Kisumu,110.25,99.5,76.21
15/08/2012,Mombasa,103.25,93.87,71.2
15/08/2012,Nairobi,106.48,97.09,73.97
15/08/2012,Kisumu,108.28,99.09,75.78
15/09/2012,Mombasa,105.7,97.84,76.87
15/09/2012,Nairobi,108.95,101.07,79.65
15/09/2012,Kisumu,110.73,103.06,81.44
15/10/2012,Mombasa,112,102.87,83.22
15/10/2012,Nairobi,115.26,106.11,86.01
15/10/2012,Kisumu,117,108.09,87.79
15/11/2012,Mombasa,110.42,102.62,82.07
15/11/2012,Nairobi,113.68,105.85,84.87
15/11/2012,Kisumu,115.43,107.83,86.65
15/12/2012,Mombasa,109.35,102.56,83.65
15/12/2012,Nairobi,112.61,105.79,86.44
15/12/2012,Kisumu,114.37,107.77,88.22
15/01/2013,Mombasa,108.34,100.76,81.07
15/01/2013,Nairobi,111.6,103.99,83.86
15/01/2013,Kisumu,113.36,105.97,85.64
15/02/2013,Mombasa,110.32,102.96,83.14
